route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
FOT2NVP,CR,FOT - NVP,Colombo Fort to Nawalapitiya,,2,,,
FOT2BAD,CR,FOT - BAD,Colombo Fort to Badulla,,2,,,
BAD2MDA,CR,BAD - MDA,Badulla to Maradana,,2,,,
FOT2KDT,CR,FOT - KDT,Colombo Fort to Kandy,,2,,,
KDT2PDA,CR,KDT - PDA,Kandy to Peradeniya Junction,,2,,,
FOT2MTL,CR,FOT - MTL,Colombo Fort to Matale,,2,,,
KDT2MDA,CR,KDT - MDA,Kandy to Maradana,,2,,,
FOT2HTN,CR,FOT - HTN,Colombo Fort to Hatton,,2,,,
NOA2MDA,CR,NOA - MDA,Nanu Oya to Maradana,,2,,,
WLA2HTN,CR,WLA - HTN,Watawala to Hatton,,2,,,
APT2MWH,CR,APT - MWH,Anuradhapura to Medawachchiya,,2,,,
NVP2KGA,CR,NVP - KGA,Nawalapitiya to Kotagala,,2,,,
FOT2VGD,CR,FOT - VGD,Colombo Fort to Veyangoda,,2,,,
APS2ALW,CR,APS - ALW,Ambepussa to Alawwa,,2,,,
PNL2NVP,CR,PNL - NVP,Pannaliya to Nawalapitiya,,2,,,
FOT2BTL,CR,FOT - BTL,Colombo Fort to Botale,,2,,,
FOT2RBK,CR,FOT - RBK,Colombo Fort to Rambukkana,,2,,,
KDT2BAD,CR,KDT - BAD,Kandy to Badulla,,2,,,
MDA2WKA,CR,MDA - WKA,Maradana to Walakumbura,,2,,,
RBK2KDT,CR,RBK - KDT,Rambukkana to Kandy,,2,,,
FOT2GPH,CR,FOT - GPH,Colombo Fort to Gampaha,,2,,,
NVP2HTN,CR,NVP - HTN,Nawalapitiya to Hatton,,2,,,
NVP2PEN,CR,NVP - PEN,Nawalapitiya to Penrose,,2,,,
KDT2NVP,CR,KDT - NVP,Kandy to Nawalapitiya,,2,,,
FOT2WKA,CR,FOT - WKA,Colombo Fort to Walakumbura,,2,,,
APS2RBK,CR,APS - RBK,Ambepussa to Rambukkana,,2,,,
NVP2HPT,CR,NVP - HPT,Nawalapitiya to Haputale,,2,,,
ALW2RBK,CR,ALW - RBK,Alawwa to Rambukkana,,2,,,
FOT2WRD,CR,FOT - WRD,Colombo Fort to Wijayarajadahana,,2,,,
APS2WKA,CR,APS - WKA,Ambepussa to Walakumbura,,2,,,
MWH2SAL,CR,MWH - SAL,Medawachchiya to Saliyapura,,2,,,
NVP2KDT,CR,NVP - KDT,Nawalapitiya to Kandy,,2,,,
WKA2MDA,CR,WKA - MDA,Walakumbura to Maradana,,2,,,
KDT2PNL,CR,KDT - PNL,Kandy to Pannaliya,,2,,,
RBK2MDA,CR,RBK - MDA,Rambukkana to Maradana,,2,,,
VGD2MDA,CR,VGD - MDA,Veyangoda to Maradana,,2,,,
HTN2KDT,CR,HTN - KDT,Hatton to Kandy,,2,,,
WRD2MDA,CR,WRD - MDA,Wijayarajadahana to Maradana,,2,,,
APS2MDA,CR,APS - MDA,Ambepussa to Maradana,,2,,,
RGM2MDA,CR,RGM - MDA,Ragama to Maradana,,2,,,
TSM2MDA,CR,TSM - MDA,Tismalpola to Maradana,,2,,,
GPH2MDA,CR,GPH - MDA,Gampaha to Maradana,,2,,,
ALW2MDA,CR,ALW - MDA,Alawwa to Maradana,,2,,,
GDA2DAG,CR,GDA - DAG,Ganegoda to Dematagoda,,2,,,
BTL2MDA,CR,BTL - MDA,Botale to Maradana,,2,,,
KDT2RBK,CR,KDT - RBK,Kandy to Rambukkana,,2,,,
BAD2KDT,CR,BAD - KDT,Badulla to Kandy,,2,,,
KNI2TCO,CR,KNI - TCO,Kantale to Trincomalee,,2,,,
CBY2KNI,CR,CBY - KNI,Chinabay to Kantale,,2,,,
MTL2MYA,CR,MTL - MYA,Matale to Mahaiyawa,,2,,,
PDA2SUA,CR,PDA - SUA,Peradeniya Junction to Sarasavi Uyana,,2,,,
KDT2MTL,CR,KDT - MTL,Kandy to Matale,,2,,,
GOA2BCO,CR,GOA - BCO,Galoya Junction to Batticaloa,,2,,,
BCO2MIY,CR,BCO - MIY,Batticaloa to Minneriya,,2,,,
APT2NER,CR,APT - NER,Anuradhapura to Neriyakulam,,2,,,
MWH2NER,CR,MWH - NER,Medawachchiya to Neriyakulam,,2,,,
FOT2NOR,CR,FOT - NOR,Colombo Fort to Noor Nagar,,2,,,
FOT2NGB,CR,FOT - NGB,Colombo Fort to Negombo,,2,,,
FOT2CHL,CR,FOT - CHL,Colombo Fort to Chilaw,,2,,,
FOT2PTM,CR,FOT - PTM,Colombo Fort to Puttalam,,2,,,
FOT2PVI,CR,FOT - PVI,Colombo Fort to Palavi,,2,,,
BCO2NOR,CR,BCO - NOR,Batticaloa to Noor Nagar,,2,,,
FOT2MDP,CR,FOT - MDP,Colombo Fort to Madampe,,2,,,
BCO2PTM,CR,BCO - PTM,Batticaloa to Puttalam,,2,,,
CHL2MDA,CR,CHL - MDA,Chilaw to Maradana,,2,,,
BGY2MDA,CR,BGY - MDA,Bangadeniya to Maradana,,2,,,
NGB2MDA,CR,NGB - MDA,Negombo to Maradana,,2,,,
NOR2MDA,CR,NOR - MDA,Noor Nagar to Maradana,,2,,,
JLA2MDA,CR,JLA - MDA,Jaela to Maradana,,2,,,
MDP2MDA,CR,MDP - MDA,Madampe to Maradana,,2,,,
FOT2PTN,CR,FOT - PTN,Colombo Fort to Paranthan,,2,,,
OMA2MDA,CR,OMA - MDA,Omanthai to Maradana,,2,,,
FOT2VNA,CR,FOT - VNA,Colombo Fort to Vavuniya,,2,,,
MWH2MDA,CR,MWH - MDA,Medawachchiya to Maradana,,2,,,
FOT2KIL,CR,FOT - KIL,Colombo Fort to Killinochchi,,2,,,
APT2MDA,CR,APT - MDA,Anuradhapura to Maradana,,2,,,
VNA2MDA,CR,VNA - MDA,Vavuniya to Maradana,,2,,,
MHJ2MHO,CR,MHJ - MHO,Mihintale Junction to Maho Junction,,2,,,
GRB2MHO,CR,GRB - MHO,Girambe to Maho Junction,,2,,,
KRN2MHO,CR,KRN - MHO,Kurunegala to Maho Junction,,2,,,
FOT2MHO,CR,FOT - MHO,Colombo Fort to Maho Junction,,2,,,
MDA2APT,CR,MDA - APT,Maradana to Anuradhapura,,2,,,
MHO2APT,CR,MHO - APT,Maho Junction to Anuradhapura,,2,,,
FOT2GNW,CR,FOT - GNW,Colombo Fort to Gannewata,,2,,,
APS2MHO,CR,APS - MHO,Ambepussa to Maho Junction,,2,,,
MHO2KRN,CR,MHO - KRN,Maho Junction to Kurunegala,,2,,,
MHO2MDA,CR,MHO - MDA,Maho Junction to Maradana,,2,,,
GNW2MDA,CR,GNW - MDA,Gannewata to Maradana,,2,,,
MHO2GRB,CR,MHO - GRB,Maho Junction to Girambe,,2,,,
KRN2MDA,CR,KRN - MDA,Kurunegala to Maradana,,2,,,
APT2MHO,CR,APT - MHO,Anuradhapura to Maho Junction,,2,,,
MHJ2NER,CR,MHJ - NER,Mihintale Junction to Neriyakulam,,2,,,
MWH2PHW,CR,MWH - PHW,Medawachchiya to Parasangahawewa,,2,,,
FOT2BCO,CR,FOT - BCO,Colombo Fort to Batticaloa,,2,,,
BCO2MDA,CR,BCO - MDA,Batticaloa to Maradana,,2,,,
FOT2VCH,CR,FOT - VCH,Colombo Fort to Valaichchenai,,2,,,
BCO2GPH,CR,BCO - GPH,Batticaloa to Gampaha,,2,,,
MHO2BCO,CR,MHO - BCO,Maho Junction to Batticaloa,,2,,,
BCO2MHO,CR,BCO - MHO,Batticaloa to Maho Junction,,2,,,
FOT2TCO,CR,FOT - TCO,Colombo Fort to Trincomalee,,2,,,
TCO2MDA,CR,TCO - MDA,Trincomalee to Maradana,,2,,,
GOA2TCO,CR,GOA - TCO,Galoya Junction to Trincomalee,,2,,,
CBY2APR,CR,CBY - APR,Chinabay to Agbopura,,2,,,
MTR2RML,CR,MTR - RML,Matara to Rathmalana,,2,,,
FOT2MTR,CR,FOT - MTR,Colombo Fort to Matara,,2,,,
MDA2MTR,CR,MDA - MTR,Maradana to Matara,,2,,,
MTR2MDA,CR,MTR - MDA,Matara to Maradana,,2,,,
ALT2HKD,CR,ALT - HKD,Aluthgama to Hikkaduwa,,2,,,
ABA2MDA,CR,ABA - MDA,Ambalangoda to Maradana,,2,,,
MTR2PAN,CR,MTR - PAN,Matara to Panadura,,2,,,
ANM2MDA,CR,ANM - MDA,Ahangama to Maradana,,2,,,
ALT2KPN,CR,ALT - KPN,Aluthgama to Kompanna Vidiya,,2,,,
PAN2KPN,CR,PAN - KPN,Panadura to Kompanna Vidiya,,2,,,
AGL2MDA,CR,AGL - MDA,Angulana to Maradana,,2,,,
ALT2MDA,CR,ALT - MDA,Aluthgama to Maradana,,2,,,
HML2MDA,CR,HML - MDA,Hettimulla to Maradana,,2,,,
