trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
1045,20:00:00,20:00:00,FOT,1,,0,0,0.0
1045,20:23:00,20:25:00,RGM,2,,0,0,0.0
1045,20:36:00,20:37:00,GPH,3,,0,0,0.0
1045,20:47:00,20:50:00,VGD,4,,0,0,0.0
1045,21:40:00,21:45:00,RBK,5,,0,0,0.0
1045,22:31:00,22:35:00,KGW,6,,0,0,0.0
1045,22:52:00,23:06:00,PDA,7,,0,0,0.0
1045,23:24:00,23:29:00,GPL,8,,0,0,0.0
1045,23:44:00,23:45:00,ULP,9,,0,0,0.0
1045,24:20:00,24:21:00,INO,10,,0,0,0.0
1045,24:36:00,24:40:00,GBD,11,,0,0,0.0
1045,25:17:00,25:18:00,RZL,12,,0,0,0.0
1045,25:35:00,25:38:00,HTN,13,,0,0,0.0
1045,25:51:00,25:52:00,KGA,14,,0,0,0.0
1045,26:08:00,26:10:00,TKL,15,,0,0,0.0
1045,26:28:00,26:28:00,WTG,16,,0,0,0.0
1045,26:43:00,26:44:00,GRW,17,,0,0,0.0
1045,27:03:00,27:11:00,NOA,18,,0,0,0.0
1045,27:42:00,27:43:00,ABL,19,,0,0,0.0
1045,27:52:00,28:02:00,PPL,20,,0,0,0.0
1045,28:18:00,28:18:00,OHA,21,,0,0,0.0
1045,28:38:00,28:39:00,IGH,22,,0,0,0.0
1045,28:55:00,28:57:00,HPT,23,,0,0,0.0
1045,29:12:00,29:13:00,DLA,24,,0,0,0.0
1045,29:28:00,29:33:00,BDA,25,,0,0,0.0
1045,29:39:00,29:40:00,KNM,26,,0,0,0.0
1045,29:49:00,29:50:00,HLO,27,,0,0,0.0
1045,29:58:00,29:59:00,KEL,28,,0,0,0.0
1045,30:05:00,30:06:00,ELL,29,,0,0,0.0
1045,30:21:00,30:29:00,DDR,30,,0,0,0.0
1045,30:43:00,30:43:00,UDW,31,,0,0,0.0
1045,30:53:00,30:53:00,HEA,32,,0,0,0.0
1045,31:10:00,31:10:00,BAD,33,,0,0,0.0
1005,05:55:00,05:55:00,FOT,1,,0,0,0.0
1005,06:16:00,06:18:00,RGM,2,,0,0,0.0
1005,06:30:00,06:31:00,GPH,3,,0,0,0.0
1005,06:42:00,06:44:00,VGD,4,,0,0,0.0
1005,07:29:00,07:31:00,RBK,5,,0,0,0.0
1005,07:52:00,07:53:00,IKT,6,,0,0,0.0
1005,08:13:00,08:14:00,KGW,7,,0,0,0.0
1005,08:21:00,08:22:00,PLT,8,,0,0,0.0
1005,08:32:00,08:33:00,PDA,9,,0,0,0.0
1005,08:35:00,08:36:00,SUA,10,,0,0,0.0
1005,08:42:00,08:47:00,KDT,11,,0,0,0.0
1005,09:04:00,09:05:00,GEY,12,,0,0,0.0
1005,09:15:00,09:16:00,GPL,13,,0,0,0.0
1005,09:22:00,09:23:00,TBL,14,,0,0,0.0
1005,09:30:00,09:31:00,ULP,15,,0,0,0.0
1005,09:45:00,09:48:00,NVP,16,,0,0,0.0
1005,10:02:00,10:03:00,INO,17,,0,0,0.0
1005,10:17:00,10:17:00,GBD,18,,0,0,0.0
1005,10:36:00,10:37:00,WLA,19,,0,0,0.0
1005,10:42:00,10:43:00,IWL,20,,0,0,0.0
1005,10:52:00,10:56:00,RZL,21,,0,0,0.0
1005,11:12:00,11:14:00,HTN,22,,0,0,0.0
1005,11:26:00,11:27:00,KGA,23,,0,0,0.0
1005,11:42:00,11:43:00,TKL,24,,0,0,0.0
1005,11:59:00,11:59:00,WTG,25,,0,0,0.0
1005,12:12:00,12:21:00,GRW,26,,0,0,0.0
1005,12:30:00,12:31:00,RDL,27,,0,0,0.0
1005,12:40:00,12:45:00,NOA,28,,0,0,0.0
1005,13:15:00,13:16:00,ABL,29,,0,0,0.0
1005,13:23:00,13:24:00,PPL,30,,0,0,0.0
1005,13:38:00,13:39:00,OHA,31,,0,0,0.0
1005,13:59:00,14:00:00,IGH,32,,0,0,0.0
1005,14:15:00,14:17:00,HPT,33,,0,0,0.0
1005,14:28:00,14:29:00,DLA,34,,0,0,0.0
1005,14:43:00,14:45:00,BDA,35,,0,0,0.0
1005,14:50:00,14:51:00,KNM,36,,0,0,0.0
1005,14:59:00,15:00:00,HLO,37,,0,0,0.0
1005,15:08:00,15:09:00,KEL,38,,0,0,0.0
1005,15:14:00,15:15:00,ELL,39,,0,0,0.0
1005,15:28:00,15:29:00,DDR,40,,0,0,0.0
1005,15:41:00,15:41:00,UDW,41,,0,0,0.0
