stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
BSH,,Boossa,,6.073831,80.16112,,,0,
KMK,,Kumarakanda,,6.112327,80.12423,,,0,
PGM,,Piyathigama,,6.053705,80.19079,,,0,
TNA,,Thiranagama,,6.1223607,80.1144,,,0,
KLP,,Kollupitiya,,6.9112983,79.8481,,,0,
BPT,,Bambalapitiya,,6.8934927,79.85294,,,0,
KPN,,Kompanna Vidiya,,6.9235163,79.849556,,,0,
GNT,,Ginthota,,6.0609007,80.17928,,,0,
DWL,,Dehiwela,,6.8509,79.86209,,,0,
MLV,,Mount Lavinia,,6.831823,79.86258,,,0,
PAN,,Pannipitiya,,6.847395,79.94889,,,0,
WDA,,Wadduwa,,6.663156,79.92856,,,0,
KTN,,Kalutara North,,6.6011963,79.95425,,,0,
KTS,,Kalutara South,,6.584029,79.9589,,,0,
PGS,,Payagala,,6.5220494,79.978714,,,0,
DNA,,Dodanduwa,,6.0982723,80.1329,,,0,
HKD,,Hikkaduwa,,6.14206,80.10015,,,0,
SMA,,Seenigama,,6.158599,80.09479,,,0,
KWE,,Kahawe,,6.1832204,80.07401,,,0,
MPA,,Madampagama,,6.212214,80.06125,,,0,
ABA,,Ambalangoda,,6.2353163,80.05508,,,0,
BPA,,Balapititya,,6.2763796,80.04336,,,0,
AUH,,Ahungalla,,6.312778,80.03761,,,0,
KDA,,Kosgoda,,6.3385973,80.02939,,,0,
RCH,,Richmond Hill,,6.0538464,80.20478,,,0,
SCR,,Secretariat,,6.931507,79.84603,,,0,
WWT,,Wellawatta,,6.874838,79.85745,,,0,
SED,,Seeduwa,,7.1286697,79.88256,,,0,
KUD,,Kudahakapola,,7.1038404,79.8898,,,0,
KAN,,Kandana,,7.0492587,79.90169,,,0,
EDM,,Enderamulla,,7.0002832,79.90678,,,0,
HUN,,Hunupitiya,,6.9876337,79.90029,,,0,
WSL,,Wanawasala,,6.9755697,79.89926,,,0,
HBD,,Habaraduwa,,5.994081,80.3073,,,0,
KRS,,Katunayake South - EPZ,,7.158148,79.87532,,,0,
NGB,,Negombo,,7.210397,79.84211,,,0,
WTG,,Watagodde,,6.9688444,80.65298,,,0,
HTN,,Hatton,,6.8931155,80.59786,,,0,
GPL,,Gampola,,7.1621737,80.566925,,,0,
BUJ,,Bujjomuwa,,7.2732763,80.21071,,,0,
YTG,,Yaththalgoda,,7.270441,80.19444,,,0,
APS,,Ambepussa,,7.2560015,80.16935,,,0,
BTL,,Botale,,7.2567496,80.15321,,,0,
WRD,,Wijayarajadahana,,7.2300014,80.11798,,,0,
GDA,,Ganegoda,,7.2129846,80.10551,,,0,
MGG,,Magalegoda,,7.133895,80.03643,,,0,
DRL,,Daraluwa,,7.107118,80.01057,,,0,
BTU,,Batuwatta,,7.0550933,79.93714,,,0,
PPL,,Pattipola,,6.8558984,80.830666,,,0,
DAG,,Dematagoda,,6.937487,79.879074,,,0,
VGD,,Veyangoda,,7.1528764,80.058655,,,0,
GAN,,Ganemulla,,7.068505,79.960724,,,0,
YGD,,Yagoda,,7.074752,79.97387,,,0,
HRP,,Horape,,7.016461,79.91822,,,0,
KCH,,Kochchikade,,7.2641296,79.85723,,,0,
WKL,,Waikkala,,7.277468,79.86031,,,0,
BLT,,Bolawatta,,7.2970123,79.86101,,,0,
KTK,,Katunayake,,7.1675415,79.87201,,,0,
TUD,,Thudella,,7.0922875,79.8911,,,0,
RML,,Rathmalana,,6.815176,79.86671,,,0,
AGL,,Angulana,,6.7990017,79.87254,,,0,
LNA,,Lunawa,,6.786932,79.87541,,,0,
WLA,,Watawala,,6.9619837,80.52622,,,0,
GRW,,Great Western,,6.957116,80.68902,,,0,
