trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
1045,FOT2NVP,daily,Nawalapitiya,1045 to Nawalapitiya,0,,,0
4001,FOT2PTN,daily,Paranthan,4001 to Paranthan,0,,,0
1005,FOT2BAD,daily,Badulla,1005 to Badulla,0,,,0
1006,BAD2MDA,daily,Maradana,1006 to Maradana,0,,,0
1007,FOT2BAD,daily,Badulla,1007 to Badulla,0,,,0
1008,BAD2MDA,daily,Maradana,1008 to Maradana,0,,,0
1009,FOT2KDT,daily,Kandy,1009 to Kandy,0,,,0
1010,KDT2PDA,daily,Peradeniya Junction,1010 to Peradeniya Junction,0,,,0
1015,FOT2BAD,daily,Badulla,1015 to Badulla,0,,,0
1016,BAD2MDA,daily,Maradana,1016 to Maradana,0,,,0
1019,FOT2MTL,daily,Matale,1019 to Matale,0,,,0
1020,KDT2MDA,daily,Maradana,1020 to Maradana,0,,,0
1023,FOT2HTN,daily,Hatton,1023 to Hatton,0,,,0
1024,NOA2MDA,daily,Maradana,1024 to Maradana,0,,,0
1029,FOT2KDT,daily,Kandy,1029 to Kandy,0,,,0
1030,KDT2MDA,daily,Maradana,1030 to Maradana,0,,,0
1031,FOT2KDT,weekends_not_holiday,Kandy,1031 to Kandy,0,,,0
1032,KDT2MDA,weekends_not_holiday,Maradana,1032 to Maradana,0,,,0
1033,FOT2KDT,weekdays,Kandy,1033 to Kandy,0,,,0
1034,KDT2MDA,satsunmon,Maradana,1034 to Maradana,0,,,0
1035,FOT2KDT,weekdays_not_holiday,Kandy,1035 to Kandy,0,,,0
1036,KDT2MDA,daily,Maradana,1036 to Maradana,0,,,0
1039,FOT2KDT,daily,Kandy,1039 to Kandy,0,,,0
1040,KDT2MDA,not_sunday_nohol,Maradana,1040 to Maradana,0,,,0
1046,WLA2HTN,daily,Hatton,1046 to Hatton,0,,,0
11,APT2MWH,weekdays,Medawachchiya,11 to Medawachchiya,0,,,0
1102,NVP2KGA,daily,Kotagala,1102 to Kotagala,0,,,0
1109,FOT2VGD,daily,Veyangoda,1109 to Veyangoda,0,,,0
1119,APS2ALW,weekdays,Alawwa,1119 to Alawwa,0,,,0
1120,PNL2NVP,daily,Nawalapitiya,1120 to Nawalapitiya,0,,,0
1124,FOT2BTL,daily,Botale,1124 to Botale,0,,,0
1125,FOT2RBK,daily,Rambukkana,1125 to Rambukkana,0,,,0
1126,KDT2BAD,daily,Badulla,1126 to Badulla,0,,,0
1127,MDA2WKA,daily,Walakumbura,1127 to Walakumbura,0,,,0
1128,RBK2KDT,daily,Kandy,1128 to Kandy,0,,,0
1130,MDA2WKA,daily,Walakumbura,1130 to Walakumbura,0,,,0
1132,FOT2GPH,daily,Gampaha,1132 to Gampaha,0,,,0
1135,FOT2RBK,daily,Rambukkana,1135 to Rambukkana,0,,,0
1136,FOT2RBK,daily,Rambukkana,1136 to Rambukkana,0,,,0
1137,NVP2HTN,daily,Hatton,1137 to Hatton,0,,,0
1138,NVP2PEN,daily,Penrose,1138 to Penrose,0,,,0
1141,FOT2RBK,daily,Rambukkana,1141 to Rambukkana,0,,,0
1142,KDT2NVP,daily,Nawalapitiya,1142 to Nawalapitiya,0,,,0
1143,FOT2RBK,daily,Rambukkana,1143 to Rambukkana,0,,,0
1144,FOT2RBK,daily,Rambukkana,1144 to Rambukkana,0,,,0
1147,FOT2VGD,daily,Veyangoda,1147 to Veyangoda,0,,,0
1150,FOT2WKA,daily,Walakumbura,1150 to Walakumbura,0,,,0
1151,APS2RBK,weekdays_not_holiday,Rambukkana,1151 to Rambukkana,0,,,0
1152,FOT2RBK,not_sunday_nohol,Rambukkana,1152 to Rambukkana,0,,,0
1153,KDT2NVP,daily,Nawalapitiya,1153 to Nawalapitiya,0,,,0
1154,FOT2VGD,not_sunday,Veyangoda,1154 to Veyangoda,0,,,0
1158,FOT2BTL,daily,Botale,1158 to Botale,0,,,0
